VARIABLE,DESCRIPTION,SOURCE,NOTE
Department,"The name of the department, agency, division or program",https://www.usa.gov/executive-departments,NA
Abbreviation,The official acronym or abbreviation,https://www.usa.gov/executive-departments,NA
