"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Gonzaga University","E 502 Boone Ave, Spokane, Washington 99258-0001","www.gonzaga.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","7567","5183","87%","8%","Fall 2011","$34,085","-","235316","00377800"
"Grays Harbor College","1620 Edward P Smith Drive, Aberdeen, Washington 98520-7599","www.ghc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Fringe","No","1973","1973","37%","17%","Fall 2011","$6,558","-","235334","00377900"
"Green River College","12401 SE 320th St, Auburn, Washington 98092-3622","www.greenriver.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Small","No","8050","8050","32%","18%","Fall 2011","$9,229","-","235343","00378000"
"Heritage University","3240 Fort Rd, Toppenish, Washington 98948","www.heritage.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Rural: Fringe","No","1124","808","23%","22%","Fall 2011","$11,742","-","235422","00377700"
"Highline College","2400 S 240th St, Des Moines, Washington 98198-9800","www.highline.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","6750","6750","30%","20%","Fall 2011","$8,704","-","235431","00378100"
"Inland Massage Institute","775 E. Holland Ave Suite 110, Spokane, Washington 99218-1257","www.inlandmassage.com/School.htm","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","37","37","71%","NA","2014-15","$25,494","-","451635","04132800"
"International Air and Hospitality Academy","2901 E Mill Plain Blvd, Vancouver, Washington 98661","www.aha.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","Yes","85","85","84%","NA","2014-15","$11,630","Air Transportation, Other","235501","02222900"
"International Beauty Education Center","12832 West Sunset Highway, Airway Heights, Washington 99001-0000","ibec.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","23","23","71%","NA","2014-15","$11,059","Nail Technician/Specialist and Manicurist","488378","04252900"
"Lake Washington Institute of Technology","11605 132nd Ave NE, Kirkland, Washington 98034-8506","www.lwtech.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","3652","3652","34%","13%","Fall 2011","$6,544","-","235699","00537300"
"Lower Columbia College","1600 Maple Street, Longview, Washington 98632-0310","https://lowercolumbia.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","2787","2787","28%","10%","Fall 2014","$7,057","-","235750","00378200"
